tlp,Species
-2.506886999,C3
-2.565849443,C5
-1.953720657,C6
-2.460724232,C8
-1.640076127,C9
-2.407217388,C10
-2.202842227,C12
-2.286564701,C13
-2.329160345,C14
-2.04924611,C15
-2.480238493,C16
-2.500382246,C17
-2.288872839,C18
-2.486323585,C19
-2.045888818,C20
-2.333776622,C21
-2.096458032,C22
-2.325173561,C23
-2.17871169,C26
-4.019556952,C27
-3.081718368,C28
-3.316099327,C37
-2.607186103,C29
-1.829133643,C30
-2.057849172,C32
-2.119329584,C33
-2.512132768,C34
-2.26977824,C38
-3.204993939,C39
-2.494926646,C40
-2.442049294,C41
-2.900319675,C42
-1.964107279,C44
-2.531227367,C45
-2.386653973,C46
-2.573823012,C52
-2.385185158,C53
-3.358590056,C57
-3.073220222,C198
-2.100864478,C141
-2.081560048,C58
-2.363152928,C60
-3.638399375,C61
-2.726579805,C62
-3.222745622,C64
-2.831914847,C66
-2.070648848,C67
-3.048670023,C68
-2.679158054,C69
-2.317304907,C70
-1.95817956,C73
-2.111356016,C74
-2.065822741,C75
-2.635932917,C77
-2.050505095,C78
-2.152902506,C79
-2.005706228,C80
-2.222566319,C81
-2.53479449,C82
-2.00769962,C83
-1.720441309,C85
-2.400712634,C86
-2.677164661,C89
-2.777988342,C90
-3.077207006,C91
-2.041141397,C94
-2.922771567,C95
-3.250317384,C161
-3.857777435,C96
-2.40490925,C59
-3.315469835,C99
-2.467228985,C101
-2.840308078,C103
-2.312583715,C104
-2.052393572,C106
-2.280206829,C107
-2.925499366,C109
-3.217373954,C110
-2.319717961,C112
-3.262067906,C115
-1.987555867,C116
-2.89339526,C117
-2.443308279,C118
-2.475333699,C119
-3.271720121,C120
-1.615316098,C122
-3.396989085,C123
-2.016932173,C124
-1.395308545,C126
-2.589140657,C129
-2.572144366,C130
-2.412463157,C133
-2.309646084,C135
-2.02994168,C136
-2.309646084,C137
-1.597900145,C138
-2.968934334,C50
-3.428778446,C139
-2.135381638,C140
-2.052603403,C142
-3.050243754,C145
-1.813606166,C146
-3.279483859,C147
-2.079566655,C148
-2.161925229,C149
-2.69195773,C150
-2.461353724,C151
-2.913224267,C153
-2.572983689,C154
-2.708954022,C155
-2.362103774,C158
-2.033508803,C159
-1.926704946,C163
-3.081613452,C164
-2.539410767,C165
-4.471406512,C166
-3.101337544,C167
-2.509300053,C170
-2.618936625,C171
-1.616365251,C173
-2.973970272,C175
-2.425472664,C176
-2.246277195,C177
-1.46423795,C178
-2.624602056,C179
-2.38854245,C180
-3.102071951,C181
-2.178501859,C183
-3.174253733,C184
-2.143433893,C207
-2.605245168,C188
-1.561179761,C189
-2.428620125,C191
-2.621244764,C195
-2.106110247,C197
-2.423794018,C199
-3.604092046,C200
-2.784283265,C201
-2.799810741,C202
-2.113873985,C204
-2.278800962,C205
-1.64909885,C206
-2.356228513,C208
-3.582689308,C209
-2.237621676,C210
-2.605638601,C212
-1.730723016,C213
-2.462402878,C214
-2.246434568,C216
-2.23683481,C217
-2.777778511,C218
-2.160666244,C219
-1.949156838,C220
-2.462822539,C221
-1.772269507,C222
